Comment,Description,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,Part Description,Part Number
"453","Resistor - 0.1%","R262, R263","RESC1608X55N","2","GENERIC","R0603_453R_0.1%_0.063W_10PPM","Thin Film Chip Resistor","R0603_453R_0.1%_0.063W_10PPM"
"1k","Resistor - 1%","R287, R288","RESC1005X40N","2","GENERIC","R0402_1K_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_1K_1%_0.0625W_100PPM"
"100k","Resistor - 1%","R320, R321","RESC3216X65N","2","GENERIC","R1206_100K_1%_0.25W_100PPM","General Purpose Thick Film Chip Resistor","R1206_100K_1%_0.25W_100PPM"
"12k","Resistor - 1%","R334","RESC1005X40N","1","GENERIC","R0402_12K_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_12K_1%_0.0625W_100PPM"
"0R47","Resistor - 1%","R335","RESC3216X65N","1","YAGEO PHYCOMP","RL1206FR-7W0R47  (35051914707)","Low Ohmique High Power Chip Resistor","R1206_0R47_1%_0.5W_600PPM"
"DNP","Resistor - 1%","R343, R344","RESC1005X40N","2","GENERIC","R0402_0R_JUMPER","1A (0.05R Max DC Resistance) Zero Ohm Jumper","R0402_0R_JUMPER"
"33k2","Resistor - 0.1%","R404, R405","RESC1608X55N","2","GENERIC","R0603_33K2_0.1%_0.063W_10PPM","Thin Film Chip Resistor","R0603_33K2_0.1%_0.063W_10PPM"
"24k","Resistor - 1%","R407","RESC1005X40N","1","GENERIC","R0402_24K_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_24K_1%_0.0625W_100PPM"
"91k","Resistor - 1%","R408","RESC1005X40N","1","GENERIC","R0402_91K_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_91K_1%_0.0625W_100PPM"
"3k9","Resistor - 1%","R456","RESC1005X40N","1","GENERIC","R0402_3K9_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_3K9_1%_0.0625W_100PPM"
"Switch","4 Ways SPST DIP Switch","SW1","SW_TYCO_1571983-4","1","TYCO","1571983-4 or GDH04S04","4 Way SPST SMD DIP Switch, Latched, Contact Rating 0.025A 24VDC","SW_TYCO_1571983-4"
"Test Point","Test Point","TP1, TP2, TP3, TP5, TP7, TP8, TP9, TP10, TP11, TP12","TPS127","10","","","1.27mm x 1.27mm PCB Copper Area (SMD Test Point)","SMD_PAD_1.27X1.27MM"
"TP","Testpoint","TP4, TP13, TP14, TP15","TP_large","4","","","",""
"8MHz","Quartz Crystal","X1","XTAL_TXC_7A","1","TXC CORPORATION","7A-8.000MAAE-T","Tolerance: ±30ppm, Stability: ±30ppm, -20°C to +70°C, 12pF, SMD Glass Seam Sealing Crystal, 7A Series","XTAL_8MHZ_TXC_7A-8.000MAAE-T"
"12MHz","Crystal 4 pins 1=XTAL Control 2=GND3=XTAL 4=GND","X2","XTAL_TXC_7M","1","TXC CORPORATION","7M-12.000MAAJ-T","±30ppm 18pF -20°C to +70°C  4 Pins, 3.2x2.5X0.8mm, SMD Sealing Crystal, 7M Series","XTAL_12MHZ_TXC_7M-12.000MAAJ-T"
"32.768kHz","Crystal 4 pins 1=XTAL Control 2 And 3=NC 4=XTAL","X3","XTAL_ABRACON_ABS25","1","ABRACON","ABS25-32.768KHZ-T","Tolerance: ± 20ppm, -40°C to +85°C, 12.5pF, SMD Crystal, ABS25 Series","XTAL_32.768KHZ_ABRACON_ABS25-32.768KHZ-T"
