Comment,Description,Designator,Footprint,Quantity,Manufacturer,Manufacturer Part Number,Part Description,Part Number
"AD8402ARZ1","2-Channel 1k Digital Potentiometer","IC11","SOIC127P600X175-14N","1","ANALOG DEVICES","AD8402ARZ1","2-Channel 1k Digital Potentiometer","AD8402ARZ1"
"TXS0104EPW","4-Bit Bidirectional Voltage-Level Translator For Open-Drain And Push-Pull Applications","IC13","SOP65P640X120-14N","1","TEXAS INSTRUMENTS","TXS0104EPW","4-Bit Bidirectional Voltage-Level Translator For Open-Drain And Push-Pull Applications","TXS0104EPW"
"TPS53353DQP","1.5V to 15V Input (4.5V to 25V Bias), 20A Synchronous Buck SWIFT™ Converter with Eco-mode™","IC14","SON50P500X600X150-23N-R334X557","1","TEXAS INSTRUMENTS","TPS53353DQP","1.5V to 15V Input (4.5V to 25V Bias), 20-A Synchronous Buck SWIFT™ Converter With Eco-mode™","TPS53353DQP"
"MT41K512M8DA-107:P","1.35V, 4Gb (512 Meg x 8) DDR3L SDRAM","IC15, IC16, IC24, IC26","BGA78C80P9X13_800X1050X120","4","MICRON TECHNOLOGY","MT41K512M8DA-107:P","1.35V, 4Gb (512 Meg x 8) DDR3L SDRAM","MT41K512M8DA-107:P"
"SN74AVC2T245RSWR","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs","IC17, IC20, IC28, IC29, IC34, IC35, IC36, IC37, IC56","QFN40P140X180X55-10N","9","TEXAS INSTRUMENTS","SN74AVC2T245RSWR","Dual-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs","SN74AVC2T245RSWR"
"MAX6642ATT90+T","±1°C, SMBus-Compatible Remote/Local Temperature Sensor with Overtemperature Alarm","IC18","SON95P300X300X80-7N-R160X240","1","MAXIM","MAX6642ATT90+T","0°C to +125°C, ±1°C, SMBus-Compatible Remote/Local Temperature Sensor with Overtemperature Alarm (Address 1001 000)","MAX6642ATT90+T"
"MIC5219-3.3YM5","500mA Peak Output LDO Regulator","IC19","SOT95P280X145-5N","1","MICROCHIP TECHNOLOGY","MIC5219-3.3YM5","3.3V 500mA Peak Output Low Drop-Out  (LDO) Regulator","MIC5219-3.3YM5"
"FT4232H-56Q","Quad High Speed USB to Multipurpose UART/MPSSE IC","IC21","QFN50P800X800X100-57N-S620","1","FUTURE TECHNOLOGY DEVICES INTERNATIONAL (FTDI)","FT4232H-56Q","Quad High Speed USB to Multipurpose UART/MPSSE IC","FT4232H-56Q"
"SN74AVC8T245RHL","8-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs","IC23, IC40, IC41","TEXAS_RHL (S-PVQFN-N24)","3","TEXAS INSTRUMENTS","SN74AVC8T245RHL","8-Bit Dual-Supply Bus Transceiver With Configurable Voltage Translation and 3-State Outputs","SN74AVC8T245RHL"
"PCA9306DCTR","Dual Bidirectional I2C Bus And SMBus Voltage-Level Translator","IC25, IC39, IC42","SOP65P400X130-8N","3","TEXAS INSTRUMENTS","PCA9306DCTR","Dual Bidirectional I2C Bus And SMBus Voltage-Level Translator","PCA9306DCTR"
"AT24MAC602-XHM","1.7V to 5.5V, I2C-Compatible (2-wire) 2-Kbit (256 x 8) Serial EEPROM","IC27","SOP65P640X120-8N","1","ATMEL","AT24MAC602-XHM","1.7V to 5.5V, I2C-Compatible (2-wire) 2-Kbit (256 x 8) Serial EEPROM with a EUI-64 Address","AT24MAC602-XHM"
"LM75AIM/NOPB","Digital Temperature Sensor and Thermal Watchdog with Two-Wire Interface","IC30, IC31, IC32, IC33","SOIC127P600X175-8N","4","TEXAS INSTRUMENTS","LM75AIM/NOPB","-25° to +100°C ±2°C Digital Temperature Sensor and Thermal Watchdog with Two-Wire Interface","LM75AIM/NOPB"
"NB6N11SMNG","3.3V 1:2 AnyLevel Input to LVDS Fanout Buffer / Translator","IC38, IC51, IC83, IC85","QFN50P300X300X100-17N-S185","4","ON SEMICONDUCTOR","NB6N11SMNG","3.3V 1:2 AnyLevel Input to LVDS Fanout Buffer / Translator","NB6N11SMNG"
"TPS51200DRCT","Sink/Source DDR Termination Regulator","IC44","SON50P300X300X100-11N-R175X250","1","TEXAS INSTRUMENTS","TPS51200DRCT","3.3V Sink/Source DDR Termination Regulator","TPS51200DRCT"
"SN74AUP1T87DCKR","Low Power, 1.8/2.5/3.3-V In, 3.3-V CMOS Out, 2-Input Positive Exclusive-NOR Gate, DCK0005A, LARGE T&R","IC45","DCK0005A_L","1","Texas Instruments","","",""
"SN74CB3T3257PW","4-BIT 1-OF-2 FET Multiplexer/Demultiplexer 2.5V/3.3V Low-Voltage Bus Switch 5V Tolerant Shifter","IC46","SOP65P640X120-16N","1","TEXAS INSTRUMENTS","SN74CB3T3257PW","4-Bit 1-of-2 FET Multiplexer/Demultiplexer 2.5V/3.3V Low-Voltage Bus Switch 5V Tolerant Shifter","SN74CB3T3257PW"
"SN74LV541APWR","Octal Buffer/Line Driver with 3-State Outputs","IC47","SOP65P640X120-20N","1","TEXAS INSTRUMENTS","SN74LV541APWR","Octal Bus Transceiver/Driver with 3-State Outputs","SN74LV541APWR"
"FIN1101K8X","LVDS Single Port High Speed Repeater","IC48, IC50, IC52","SOP50P310X90-8N","3","FAIRCHILD SEMICONDUCTOR","FIN1101K8X","LVDS Single Port High Speed Repeater","FIN1101K8X"
"NC7SZ157P6X","TinyLogic® UHS 2-Input Non-Inverting Multiplexer","IC49, IC72, IC75","SOT65P210X110-6N","3","FAIRCHILD SEMICONDUCTOR","NC7SZ157P6X","TinyLogic® UHS 2-Input Non-Inverting Multiplexer","NC7SZ157P6X"
"AD5662BRMZ-1","2.7V to 5.5V, 250uA, Rail-to-Rail Output 16-Bit nanoDAC","IC53, IC82","SOP65P490X110-8N","2","ANALOG DEVICES","AD5662BRMZ-1","2.7V to 5.5V, 250uA, Rail-to-Rail Output 16-Bit nanoDAC","AD5662BRMZ-1"
"TL431ACDBZT","Precision Reference 1=Cathode 2=Adj 3=Anode","IC54","SOT95P237X112-3N","1","TEXAS INSTRUMENTS","TL431ACDBZT","Vref (2.5V) To 36V 1% Precision Programmable Reference","TL431ACDBZT"
"NCP3170ADR2G","Synchronous PWM Switching Converter","IC55, IC57","SOIC127P600X175-8N","2","ON SEMICONDUCTOR","NCP3170ADR2G","Synchronous PWM Switching Converter","NCP3170ADR2G"
"STM811SW16F","Microprocessor Reset Circuit","IC58","SOT143N","1","ST MICROELECTRONICS","STM811SW16F","2.93V Reset Threshold Voltage Microprocessor Reset Circuit","STM811SW16F"
"SN65MLVD082DGG","8-Channel Half-Duplex M-LVDS Line Transceiver","IC59","SOP50P810X120-64N","1","TEXAS INSTRUMENTS","SN65MLVD082DGG","8-Channel Half-Duplex M-LVDS Line Transceiver","SN65MLVD082DGG"
"M93C46-WMN6TP","2.5 to 5.5 V, 1Kb (128x8) Serial Microwire Bus EEPROM","IC60","SOIC127P600X175-8N","1","ST MICROELECTRONICS","M93C46-WMN6TP","1Kbit (128 x 8 bit or 64 x 16 bit) MICROWIRE® Serial Access EEPROM","M93C46-WMN6TP"
"TPS82130SIL","3V to 17V Input 3A Step-Down Converter MicroSiP™ Module with Integrated Inductor","IC61","TEXAS_SIL0008D (uSIP)","1","TEXAS INSTRUMENTS","TPS82130SIL","3V to 17V Input 3A Step-Down Converter MicroSiP™ Module with Integrated Inductor","TPS82130SIL"
"TCA9548ARGER","Low Voltage 8-Channel I2C Switch With Reset","IC62, IC63","QFN50P400X400X100-25N-S220","2","TEXAS INSTRUMENTS","TCA9548ARGER","Low Voltage 8-Channel I2C Switch With Reset","TCA9548ARGER"
"MT25QL256ABA8ESF-0AAT","256Mbit (32MB), 2.7V-3.6V, Multiple I/O Serial NOR Flash Memory,with Reset# & Hold#","IC65","SOIC127P1030X265-16N","1","MICRON TECHNOLOGY","MT25QL256ABA8ESF-0AAT","256Mbit (32MB), 2.7V-3.6V, Multiple I/O Serial NOR Flash Memory,with Reset# & Hold# (Automotive grade AEC-Q100)","MT25QL256ABA8ESF-0AAT"
"MCP23016-I/SO","16-bit I/O I2C I/O Expander","IC66","SOIC127P1030X265-28N","1","MICROCHIP TECHNOLOGY","MCP23016-I/SO","16-bit I2C I/O Expander","MCP23016-I/SO"
"AT24C64D-SSHM-T","64K (8192 x 8), I2C-Compatible (2-Wire) Serial EEPROM","IC71","SOIC127P600X175-8N","1","ATMEL","AT24C64D-SSHM-T","1.7V to 5.5V, 64K (8192 x 8), I2C-Compatible (2-Wire) Serial EEPROM","AT24C64D-SSHM-T"
"8V54816ANLG","16-Port, Bi-directional M-LVDS Clock Cross-Point Switch","IC73","QFN40P1200X1200X90-101N-S690","1","INTEGRATED DEVICE TECHNOLOGY (IDT)","8V54816ANLG","16-Port, Bi-directional M-LVDS Clock Cross-Point Switch","8V54816ANLG"
"LD1117DT33CTR","3-Terminal Regulator 1=GND 2=IN 3=OUT","IC74","TO228P972X240-3N-R540X510","1","ST MICROELECTRONICS","LD1117DT33CTR","3.3V 800mA Low drop fixed and adjustable positive voltage regulators","LD1117DT33CTR"
"Advanced TCA","Connector 60 ATCA Female 30 Pairs (60 Signals) + 3x10 Ground","J1, J2","TYCO_6469081-1","2","TYCO ELECTRONICS","6469081-1","60 Positions, Pitch 2.5mm,  Advanced TCA, Z-PACK HM-Zd Right Angle Press Fit Receptacle","TYCO_6469081-1"
"Mini-Fit Jr.™","Connector 4 Male","J4","MOLEX_39-28-1043","1","MOLEX","39-28-1043","4.20mm (.165"") Pitch Mini-Fit Jr.™ Header, Dual Row, Vertical, without Snap-in Plastic Peg PCB Lock, 4 Circuits","MOLEX_39-28-1043"
"U.FL","","J5, J7, J11, J18, J19, J20, J21","HIROSE_U.FL-R-SMT-1(10)","7","HIROSE (HRS)","U.FL-R-SMT-1(10)","Up to 6GHz Ultra Small Surface Mount Male Coaxial Connectors U.FL Series","HIROSE_U.FL-R-SMT-1(10)"
"Milli-Grid™","Connector 14 Male","J6","MOLEX_87832-1420","1","MOLEX","87832-1420","2.00mm (.079"") Pitch Milli-Grid™ Header, Surface Mount, Vertical, Shrouded, 14 Circuits,with Locking Windows and Centre Polarization Slot, PCB Locator","MOLEX_87832-1420"
"Micro-USB AB 2.0","5 Pin + 1 Shield USB Receptacle","J8","HIROSE_ZX62RD-AB-5P8","1","HIROSE (HRS)","ZX62RD-AB-5P8","Micro-USB 2.0 Right Angle, SMD Type AB - Reverse (Top mount), Shell Through Hole","HIROSE_ZX62RD-AB-5P8"
"Header 20","Connector 20 Male","J9","SAMTEC_FTSH-110-01-F-DV-K","1","SAMTEC","FTSH-110-01-F-DV-K","20 Contacts, Pitch 1.27mm, Dual Row Straight Shrouded SMT Micro Header with Keying Shroud","SAMTEC_FTSH-110-01-F-DV-K"
"","Single Pin Female","J12","TYCO_5120913-1","1","TYCO ELECTRONICS","5120913-1","Universal Right Angle Female Power Module Guide (keyed)","TYCO_5120913-1"
"VITA 57","Connector VITA 57, 400 Female contacts in 10 row abcdefghj","J15A, J15B","SAMTEC_ASP-134486-01","2","SAMTEC","ASP-134486-01","400 contacts (10 rows abcdefghj) Surface Mount Female Connector, VITA 57","SAMTEC_ASP-134486-01"
"1.5uH","Inductor With Core","L1, L3, L5, L6, L15, L16","IND_TDK_SPM6530","6","TDK","SPM6530T-1R5M100","SMD Inductor for Power Circuits (Wound Metal), SPM Series","IND_1.5UH_20%_TDK_SPM6530"
"3.3uH","Inductor With Core","L2, L7","IND_WURTH_WE-PD4_L","2","WURTH ELEKTRONIK","74456033","Power Inductor (WE-PD 4 Series)","IND_3.3UH_20%_WURTH_WE-PD4_74456033"
"440nH","Inductor With Core","L8","IND_PULSE_PA0513","1","PULSE ELECTRONICS","PA0513.441NLT","SMT Power Inductor","IND_440NH_20%_PULSE_PA0513.441NLT"
"1uH","Inductor With Core","L10, L11, L12, L13","IND_PANASONIC_ELLVGG","4","PANASONIC","ELLVGG1R0N","Wire Wound SMD Power Inductor, G Series, Type ELLVGG","IND_1UH_30%_PANASONIC_ELLVGG1R0N"
"Blue","LED Blue Avago C120","LED1","LED_AVAGO_HSME-C120rev","1","AVAGO TECHNOLOGIES","HSMR-C120","High Performance Right Angle Chip Blue LED","LED_AVAGO_HSMR-C120"
"Green","LED Green Avago C120","LED2","LED_AVAGO_HSME-C120rev","1","AVAGO TECHNOLOGIES","HSME-C120","High Performance Right Angle Chip Green LED","LED_AVAGO_HSME-C120"
"Red/Green/Blue","Right Angle Tricolor (RGB) Surface Mount LED, Body 3.2x1mm","LED3","LED_OPTEK_OVSRRGBCC3_a","1","OPTEK / TT ELECTRONICS","OVSRRGBCC3","Side Mount, Full-Color (RGB), 1204 Surface Mount LED (150° Viewing Angle)","LED_OPTEK_OVSRRGBCC3_a"
"Red","LED Red 1C 2A","LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17","LED_KINGBRIGHT_KPH-1608SURCK","12","KINGBRIGHT","KPH-1608SURCK","SMD Hyper Red LED, Case 1.6mmX0.8mm(0603), 0.65mm Thickness","LED_KINGBRIGHT_KPH-1608SURCK"
"0.2-800MHz","Ultra Low Jitter I2C Programmable Crystal Oscillator (XO), Si549 Series","OSC1, OSC2","OSC_SILICON-LAB_SI549-A","2","SILICON LABS","549BACB001937ABG, 549CBAC000112ABG","0.2-800MHz, 1.8V/2.5V/3.3V ±20ppm LVDS, Ultra Low Jitter I2C Programmable Crystal Oscillator (XO), Si549 Series","OSC_0.2-800MHZ_SILICON-LAB_549BACB001937ABG"
"125MHz","Crystal Oscillator 6 pins, Si511 (LVDS/LVPECL/HCSL/Dual CMOS)","OSC3","OSC_SILICON-LAB_SI511-6N(3.2X5)","1","SILICON LABS","511BBA125M000BAGR","3.3V, ±50ppm, -40°C to +85°C, LVDS XO Oscillator, Si510 Series","OSC_125MHZ_SILICON-LAB_511BBA125M000BAGR"
"Push Button","Push-Button Switch SPDT","PB1","SW_C&K_HDT0001","1","C&K","HDT0001","5VDC 1mA SPST-NO Micro Mini Surface Surface Mount Detect Push-Button Switch, HDT Serie","SW_C&K_HDT0001"
"Push Button","Push-Button Switch SPDT","PB2","PB_ALPS_SKHHLMA010","1","ALPS","SKHHLMA010","6x6mm, SPST Horizontal Pushbutton Switch, Stem height 3.85mm, Contact Rating 50mA 12VDC, SKHH Series","PB_ALPS_SKHHLMA010"
"IRF9317TRPBF","-30V -16A P-Channel HEXFET® Power MOSFET","Q1, Q2, Q13","SOIC127P600X175-8N","3","INTERNATIONAL RECTIFIER","IRF9317TRPBF","-30V -16A P-Channel HEXFET® Power MOSFET","IRF9317TRPBF"
"BSS138LT1G","N-CHANNEL MOSFET WITH DIODE","Q3, Q4, Q7, Q8, Q9, Q10, Q11, Q14, Q15, T1, T2, T7, T8, T9, T12, T16","SOT95P240X110-3N","16","ON SEMICONDUCTOR","BSS138LT1G","50V 200mA N-Channel Enhancement Mode Field-Effect Transistor","BSS138LT1G"
"BC847B","NPN Transistor","Q5, Q6, Q12, Q16","SOT95P230X110-3N","4","NXP SEMICONDUCTORS","BC847B","45V 100mA NPN general-purpose transistors","BC847B"
"Si2315BDS-T1-E3","P-CHANNEL MOSFET WITH DIODE","Q17","SOT95P237X112-3N","1","VISHAY SILICONIX","Si2315BDS-T1-E3","-12V -3A P-Channel STripFET® II Power MOSFET","Si2315BDS-T1-E3"
"IRF9310TRPBF","-30V -20A P-Channel HEXFET® Power MOSFET","Q18","SOIC127P600X175-8N","1","INTERNATIONAL RECTIFIER","IRF9310TRPBF","-30V -20A P-Channel HEXFET® Power MOSFET","IRF9310TRPBF"
"IRF9910TRPBF","Dual SO-8 MOSFET For POL Cconverter","Q19, Q20, Q21, Q22, Q23, Q24","SOIC127P600X175-8N","6","INTERNATIONAL RECTIFIER","IRF9910TRPBF","20V 10A(Q1) 20V 12A (Q2) Dual SO-8 MOSFET For POL Cconverter","IRF9910TRPBF"
"0","Resistor, Resistor - 1%","R1, R35, R56, R60, R70, R80, R118, R124, R135, R137, R139, R151, R154, R155, R157, R209, R226, R227, R230, R232, R233, R234, R235, R253, R254, R258, R289, R290, R299, R348, R383, R394, R395, R396, R397, R398, R399, R400, R410, R418, R420, R422, R433, R434, R435, R443, R444, R447, R451, R452, R457, R458, R459, R460, R461, R481, R485, R487, R489, R491, R493, R542, R550, R552, R553, R554, R555, R564","RESC1005X40N","68","GENERIC","R0402_0R_JUMPER","1A (0.05R Max DC Resistance) Zero Ohm Jumper","R0402_0R_JUMPER"
"10k","Resistor - 1%","R2, R3, R4, R5, R6, R19, R30, R31, R33, R34, R36, R37, R38, R39, R40, R55, R57, R58, R59, R61, R67, R71, R78, R79, R82, R85, R92, R97, R98, R99, R100, R101, R102, R103, R104, R105, R114, R117, R119, R120, R121, R122, R125, R126, R133, R138, R140, R141, R145, R146, R147, R149, R158, R159, R162, R164, R165, R180, R207, R217, R221, R222, R225, R231, R236, R237, R238, R240, R241, R242, R246, R255, R264, R265, R268, R270, R274, R275, R276, R280, R281, R282, R297, R300, R301, R302, R305, R306, R319, R322, R323, R324, R325, R326, R329, R330, R331, R332, R333, R336, R338, R339, R341, R342, R413, R414, R415, R416, R419, R421, R423, R424, R425, R426, R427, R428, R429, R430, R453, R462, R463, R464, R465, R466, R467, R468, R469, R470, R471, R473, R499, R501, R503, R557, R558, R559, R560","RESC1005X40N","137","GENERIC","R0402_10K_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_10K_1%_0.0625W_100PPM"
"100","Resistor - 1%","R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R96, R142, R152, R153, R239, R346","RESC1005X40N","18","GENERIC","R0402_100R_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_100R_1%_0.0625W_100PPM"
"4k7","Resistor - 1%","R20, R21, R22, R49, R50, R69, R131, R160, R166, R220, R272, R380, R381","RESC1005X40N","13","GENERIC","R0402_4K7_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_4K7_1%_0.0625W_100PPM"
"330","Resistor - 1%","R23, R24, R132, R161, R175, R277, R278, R279, R293, R310, R311, R312, R349, R367, R373, R387, R389, R392","RESC1005X40N","18","GENERIC","R0402_330R_1%_0.0625W_100PPM","General Purpose Thick Film Chip Resistor","R0402_330R_1%_0.0625W_100PPM"
"5k1","Resistor - 1%","R25, R26, R41, R42, R73, R87, R95, R223, R259, R315, R316, R317, R379","RESC1608X55N","13","GENERIC","R0603_5K1_1%_0.1W_100PPM","General Purpose Thick Film Chip Resistor","R0603_5K1_1%_0.1W_100PPM"
